gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT05_121383,K'Sante,Vi,Aurora,Kai'Sa,Neeko,Yasuo,Maokai,Ryze,Corki,Rell,0
LOLTMNT05_122381,Gnar,Lillia,Sylas,Varus,Alistar,Annie,Skarner,Yone,Ezreal,Rell,1
LOLTMNT05_122391,Aurora,Xin Zhao,Taliyah,Kai'Sa,Nautilus,Ambessa,Sejuani,Akali,Ashe,Renata Glasc,1
LOLTMNT05_122399,Jayce,Ivern,Hwei,Miss Fortune,Elise,Gragas,Pantheon,Viktor,Sivir,Rakan,1
LOLTMNT02_239612,Gwen,Xin Zhao,Akali,Kai'Sa,Rakan,Ambessa,Maokai,Yone,Ashe,Galio,1
LOLTMNT02_240631,Aatrox,Skarner,Azir,Smolder,Leona,Gnar,Wukong,Sylas,Ezreal,Braum,1
LOLTMNT02_240645,K'Sante,Lillia,Aurora,Corki,Rell,Renekton,Sejuani,Syndra,Varus,Alistar,1
LOLTMNT02_239645,Ambessa,Naafiri,Azir,Varus,Rell,Jayce,Xin Zhao,Galio,Ezreal,Leona,1
LOLTMNT02_239650,Renekton,Sejuani,Yone,Miss Fortune,Rakan,Gnar,Ivern,Tristana,Ziggs,Alistar,1
LOLTMNT02_239654,K'Sante,Vi,Ahri,Corki,Braum,Aatrox,Skarner,Aurora,Ashe,Renata Glasc,0
LOLTMNT02_240695,Ambessa,Sejuani,Azir,Xayah,Rakan,Rumble,Skarner,Viktor,Kai'Sa,Nautilus,0
LOLTMNT02_239708,Renekton,Lillia,Jayce,Tristana,Alistar,K'Sante,Viego,Orianna,Ezreal,Leona,1
LOLTMNT02_239723,Rumble,Skarner,Azir,Jhin,Leona,Sion,Nidalee,Tristana,Varus,Pantheon,0
LOLTMNT02_240743,Jayce,Sejuani,Yone,Kai'Sa,Rell,Gragas,Lillia,Ambessa,Miss Fortune,Alistar,1
LOLTMNT02_239735,Renekton,Vi,Ahri,Sivir,Maokai,K'Sante,Xin Zhao,Sylas,Ezreal,Rakan,0
11920-11920_game_1,Rumble,Naafiri,Ryze,Varus,Alistar,Gwen,Vi,Aurora,Kalista,Renata Glasc,1
11920-11920_game_2,Ambessa,Xin Zhao,Azir,Ashe,Braum,Aatrox,Viego,Taliyah,Ziggs,Nautilus,0
LOLTMNT02_240757,Jayce,Maokai,Aurora,Ezreal,Alistar,Rumble,Sejuani,Yone,Ashe,Braum,1
11921-11921_game_1,Rumble,Vi,Taliyah,Varus,Rell,Gwen,Xin Zhao,Ryze,Corki,Nautilus,1
LOLTMNT02_240793,Ambessa,Viego,Taliyah,Varus,Nautilus,Aatrox,Zyra,Corki,Kai'Sa,Rell,0
11921-11921_game_2,Ambessa,Skarner,Azir,Ezreal,Braum,Camille,Viego,Galio,Miss Fortune,Alistar,1
11921-11921_game_3,K'Sante,Wukong,Ahri,Kalista,Neeko,Renekton,Olaf,Sylas,Kai'Sa,Leona,0
LOLTMNT05_122430,K'Sante,Maokai,Taliyah,Varus,Rell,Gnar,Skarner,Orianna,Ezreal,Alistar,0
LOLTMNT05_122431,Gwen,Vi,Ahri,Corki,Bard,Jax,Nidalee,Jayce,Xayah,Rakan,0
LOLTMNT02_239885,Ambessa,Poppy,LeBlanc,Smolder,Rell,Jayce,Viego,Ahri,Senna,Cho'Gath,1
LOLTMNT05_121435,Ambessa,Xin Zhao,Viktor,Jhin,Karma,Volibear,Pantheon,LeBlanc,Ashe,Braum,1
LOLTMNT02_239920,Ambessa,Vi,Taliyah,Corki,Rakan,Rengar,Maokai,Xerath,Tristana,Rell,1
LOLTMNT02_240939,Teemo,Dr. Mundo,Ekko,Tristana,Thresh,Maokai,Xin Zhao,Syndra,Corki,Nautilus,0
LOLTMNT05_121441,Rumble,Sejuani,Jayce,Corki,Nautilus,Galio,Naafiri,Yone,Varus,Alistar,1
LOLTMNT02_240951,Gnar,Sejuani,Syndra,Jhin,Braum,Camille,Lillia,Tristana,Varus,Nautilus,1
LOLTMNT05_121453,Gnar,Maokai,Sylas,Kai'Sa,Rakan,Yasuo,Vi,Ahri,Ezreal,Rell,0
LOLTMNT02_239998,Gwen,Skarner,Ryze,Kalista,Nautilus,Ambessa,Xin Zhao,Cassiopeia,Ezreal,Rell,0
LOLTMNT02_241009,Ambessa,Sejuani,Yone,Kai'Sa,Maokai,Renekton,Skarner,Aurora,Corki,Alistar,0
LOLTMNT02_241029,Rumble,Poppy,Viktor,Corki,Leona,Galio,Lee Sin,Azir,Varus,Alistar,1
LOLTMNT02_241033,K'Sante,Naafiri,Taliyah,Varus,Rakan,Gnar,Xin Zhao,Hwei,Ezreal,Rell,0
LOLTMNT02_242029,Renekton,Gwen,Ahri,Varus,Leona,Akali,Skarner,Viktor,Ezreal,Rell,0
LOLTMNT02_241050,Gwen,Vi,Ahri,Zeri,Lulu,Jax,Poppy,Akali,Miss Fortune,Seraphine,1
LOLTMNT02_242042,Aatrox,Volibear,Aurora,Tristana,Galio,Rumble,Vi,Taliyah,Ashe,Nautilus,0
LOLTMNT02_242047,Ambessa,Vi,Sylas,Varus,Rell,Camille,Maokai,Taliyah,Ezreal,Leona,1
LOLTMNT02_241074,Rumble,Vi,Corki,Kai'Sa,Rell,Ambessa,Sejuani,Sylas,Ezreal,Braum,1
LOLTMNT02_241077,Aatrox,Naafiri,Viktor,Corki,Alistar,Renekton,Nocturne,Aurora,Ashe,Pyke,0
LOLTMNT02_241079,Aatrox,Karthus,Tristana,Varus,Taric,Jax,Zyra,Yasuo,Miss Fortune,Leona,0
LOLTMNT02_241146,Rumble,Xin Zhao,Ryze,Jhin,Leona,Gwen,Naafiri,Taliyah,Xayah,Rakan,0
LOLTMNT02_241153,Sion,Nidalee,Ahri,Varus,Karma,Renekton,Lillia,Corki,Ezreal,Rell,1
LOLTMNT02_241157,Aatrox,Skarner,Akali,Zeri,Poppy,Ambessa,Sejuani,Galio,Sivir,Neeko,0
LOLTMNT02_242159,Rumble,Maokai,Corki,Jinx,Alistar,Ambessa,Skarner,Azir,Caitlyn,Braum,0
LOLTMNT02_242181,Aatrox,Sejuani,Yone,Miss Fortune,Rell,Gnar,Lee Sin,Aurora,Ezreal,Leona,1
LOLTMNT02_241229,K'Sante,Xin Zhao,Orianna,Kai'Sa,Nautilus,Renekton,Naafiri,Ahri,Zeri,Rakan,1
LOLTMNT02_241247,Rumble,Maokai,Corki,Jhin,Rell,Sion,Zyra,Syndra,Varus,Nautilus,1
LOLTMNT02_241265,Riven,Lillia,Yasuo,Varus,Alistar,Ornn,Ivern,Corki,Ezreal,Rell,1
LOLTMNT02_241282,Sion,Poppy,Azir,Varus,Alistar,Cho'Gath,Vi,Ahri,Corki,Nautilus,1
LOLTMNT05_121483,Gwen,Lillia,Smolder,Varus,Rell,Ambessa,Naafiri,Azir,Corki,Leona,1
LOLTMNT05_122466,Gnar,Vi,Ahri,Ezreal,Braum,Malphite,Jarvan IV,Sylas,Corki,Nautilus,1
LOLTMNT02_242306,K'Sante,Zyra,Yasuo,Varus,Nautilus,Camille,Maokai,Orianna,Miss Fortune,Rell,0
LOLTMNT05_121487,Malphite,Maokai,Yone,Ezreal,Fiddlesticks,K'Sante,Zyra,Jayce,Jhin,Alistar,1
LOLTMNT05_122467,Poppy,Elise,Quinn,Kai'Sa,Alistar,Ambessa,Sejuani,Azir,Tristana,Lulu,1
LOLTMNT02_241351,Ornn,Jarvan IV,Ziggs,Ezreal,Neeko,Rumble,Vi,Yone,Jhin,Bard,0
LOLTMNT05_121491,Gnar,Xin Zhao,Ahri,Kai'Sa,Nautilus,Jax,Jarvan IV,Taliyah,Sivir,Lulu,0
LOLTMNT05_122469,Cassiopeia,Xin Zhao,Taliyah,Aphelios,Janna,Ornn,Pantheon,Aurora,Kalista,Renata Glasc,1
LOLTMNT02_241389,Wukong,Gwen,Lux,Corki,Braum,Jayce,Poppy,Taliyah,Kai'Sa,Thresh,0
LOLTMNT02_242380,Sion,Taliyah,Viktor,Varus,Rell,Ambessa,Zyra,Jayce,Ezreal,Bard,0
LOLTMNT05_122472,K'Sante,Gwen,Corki,Jhin,Rell,Gnar,Naafiri,Ahri,Varus,Alistar,1
LOLTMNT02_242404,Jax,Viego,Veigar,Ashe,Rell,Shen,Nocturne,Ahri,Twitch,Leona,0
LOLTMNT02_241404,Rumble,Vi,Ryze,Kai'Sa,Rakan,Ambessa,Pantheon,Sylas,Ezreal,Leona,1
LOLTMNT02_242413,Camille,Xin Zhao,Karma,Sivir,Braum,K'Sante,Vi,Galio,Xayah,Nautilus,0
LOLTMNT05_121495,Shen,Zed,Viktor,Caitlyn,Fiddlesticks,Jayce,Jarvan IV,Taliyah,Ashe,Braum,1
LOLTMNT02_241443,Rumble,Xin Zhao,Ahri,Varus,Nautilus,Ambessa,Darius,Taliyah,Ezreal,Rell,1
LOLTMNT02_242448,Aatrox,Jarvan IV,Azir,Varus,Pyke,Renekton,Ivern,Corki,Zeri,Nautilus,0
LOLTMNT02_242452,Cho'Gath,Maokai,Ziggs,Jhin,Tahm Kench,Ornn,Morgana,Yone,Tristana,Lulu,1
LOLTMNT02_242454,Jax,Ivern,Yone,Kalista,Alistar,Gnar,Maokai,Corki,Jhin,Neeko,0
LOLTMNT02_242467,Rumble,Jarvan IV,Ahri,Ezreal,Rell,Ambessa,Zyra,Tristana,Varus,Leona,0
LOLTMNT02_242473,Jayce,Naafiri,Taliyah,Ezreal,Leona,K'Sante,Xin Zhao,Syndra,Varus,Amumu,1
LOLTMNT02_242475,Jayce,Lillia,Smolder,Xayah,Rakan,Camille,Sejuani,Yone,Kai'Sa,Galio,0
LOLTMNT02_241474,Rumble,Sejuani,Yone,Corki,Rell,Ambessa,Vi,Ahri,Jhin,Alistar,0
LOLTMNT02_242547,Ambessa,Naafiri,Aurora,Ezreal,Alistar,Jayce,Vi,Ahri,Miss Fortune,Rakan,0
LOLTMNT02_241560,Aatrox,Skarner,Viktor,Ashe,Braum,Gnar,Xin Zhao,Azir,Corki,Nautilus,0
LOLTMNT02_242586,Gwen,Sejuani,Corki,Miss Fortune,Rell,Rumble,Skarner,Aurora,Ezreal,Alistar,1
LOLTMNT02_241605,Aatrox,Xin Zhao,Galio,Varus,Renata Glasc,Ambessa,Vi,Taliyah,Ashe,Braum,0
LOLTMNT02_241674,Maokai,Lillia,Yone,Jhin,Karma,Olaf,Sejuani,Azir,Ashe,Seraphine,1
LOLTMNT05_122495,Gragas,Pantheon,Taliyah,Varus,Nautilus,Cho'Gath,Sejuani,Tristana,Corki,Bard,1
LOLTMNT02_242688,Gangplank,Viego,Syndra,Kai'Sa,Rell,Rumble,Jarvan IV,Vladimir,Ezreal,Renata Glasc,0
LOLTMNT05_121516,Jayce,Pantheon,Vel'Koz,Varus,Rell,Gragas,Dr. Mundo,Azir,Jhin,Alistar,0
LOLTMNT05_121523,Aurora,Nocturne,Viktor,Sivir,Camille,Ryze,Vi,Orianna,Ezreal,Pyke,0
LOLTMNT02_241720,Gnar,Amumu,Swain,Varus,Karma,Gragas,Olaf,Aurora,Jhin,Rell,1
LOLTMNT05_121524,Sion,Viego,Cho'Gath,Corki,Braum,Rumble,Poppy,Tristana,Ashe,Renata Glasc,0
LOLTMNT05_121530,Jayce,Naafiri,Syndra,Ezreal,Alistar,Ambessa,Skarner,Azir,Tristana,Rell,0
LOLTMNT05_122510,Rumble,Pantheon,Aurora,Varus,Nautilus,Jayce,Maokai,Tristana,Jhin,Leona,1
LOLTMNT02_241731,Jayce,Zyra,Morgana,Tristana,Alistar,Pantheon,Maokai,Hwei,Ezreal,Leona,1
LOLTMNT05_121538,Rumble,Wukong,Aurora,Miss Fortune,Galio,Gnar,Xin Zhao,Vladimir,Corki,Rakan,0
LOLTMNT05_122515,Sion,Pantheon,Azir,Jhin,Rakan,Gnar,Maokai,Yone,Miss Fortune,Leona,1
LOLTMNT05_122517,Renekton,Maokai,Ahri,Kai'Sa,Blitzcrank,Aatrox,Jarvan IV,Viktor,Zeri,Pyke,1
LOLTMNT05_121540,Rumble,Maokai,Corki,Varus,Nautilus,Kled,Vi,Aurora,Jhin,Taric,1
LOLTMNT02_242751,Rumble,Pantheon,Taliyah,Varus,Rell,Gwen,Naafiri,Ahri,Miss Fortune,Alistar,0
LOLTMNT02_242759,Ambessa,Xin Zhao,Hwei,Ezreal,Leona,Volibear,Skarner,Azir,Kai'Sa,Nautilus,1
LOLTMNT02_241787,Rumble,Skarner,Ahri,Corki,Nautilus,Gwen,Naafiri,Hwei,Jhin,Alistar,0
LOLTMNT02_241797,Jayce,Poppy,Taliyah,Kai'Sa,Leona,Ambessa,Vi,Aurora,Ezreal,Braum,1
LOLTMNT02_242767,Ambessa,Xin Zhao,Aurora,Kai'Sa,Rakan,Renekton,Pantheon,Azir,Ezreal,Leona,1
LOLTMNT02_242768,Ornn,Zyra,Corki,Varus,Rell,K'Sante,Xin Zhao,Hwei,Jhin,Alistar,1
LOLTMNT02_241801,Jayce,Ivern,Orianna,Ezreal,Nautilus,Malphite,Maokai,Tristana,Miss Fortune,Braum,0
LOLTMNT02_242775,Rumble,Skarner,Ahri,Xayah,Rakan,Aatrox,Dr. Mundo,Sylas,Miss Fortune,Nautilus,0
LOLTMNT02_241807,Renekton,Lillia,Zed,Varus,Rell,Jax,Sejuani,Yone,Ashe,Seraphine,1
LOLTMNT02_242782,Rumble,Wukong,Azir,Corki,Renata Glasc,Galio,Xin Zhao,Ryze,Zeri,Rakan,1
LOLTMNT02_241881,Sion,Naafiri,Ryze,Ezreal,Leona,Rumble,Poppy,Azir,Corki,Alistar,0
LOLTMNT02_241884,Rumble,Skarner,Yone,Miss Fortune,Rell,Galio,Xin Zhao,Azir,Ashe,Alistar,0
LOLTMNT02_241883,Gwen,Sejuani,Viktor,Jinx,Rell,Rumble,Skarner,Azir,Jhin,Alistar,1
LOLTMNT02_241899,Aatrox,Maokai,Corki,Ezreal,Nautilus,Ambessa,Naafiri,Orianna,Varus,Pantheon,0
LOLTMNT02_241902,Gnar,Lillia,Corki,Kai'Sa,Nautilus,Renekton,Zyra,Yone,Miss Fortune,Braum,1
LOLTMNT02_242853,Olaf,Vi,Sylas,Xayah,Rakan,Ambessa,Viego,Ahri,Tristana,Pantheon,1
LOLTMNT02_241923,Aatrox,Vi,Taliyah,Xayah,Rakan,Ambessa,Wukong,Galio,Kalista,Renata Glasc,0
LOLTMNT02_242868,Gwen,Xin Zhao,Annie,Jhin,Karma,Gragas,Maokai,Tryndamere,Ashe,Braum,1
LOLTMNT02_241948,Gwen,Sejuani,Yone,Ezreal,Elise,Jayce,Vi,Aurora,Miss Fortune,Rakan,1
LOLTMNT02_241955,Jax,Naafiri,LeBlanc,Varus,Alistar,Gangplank,Nocturne,Orianna,Kai'Sa,Nautilus,0
LOLTMNT02_241987,Gwen,Maokai,Yone,Miss Fortune,Rell,Rumble,Ivern,Corki,Ezreal,Leona,0
LOLTMNT02_243004,Jax,Xin Zhao,Ahri,Kalista,Renata Glasc,Gnar,Skarner,Taliyah,Senna,Cho'Gath,1
LOLTMNT02_242946,Aatrox,Naafiri,Aurora,Kai'Sa,Gragas,K'Sante,Vi,Azir,Ashe,Braum,1
LOLTMNT05_121595,Ambessa,Vi,Ahri,Miss Fortune,Rakan,Aatrox,Sejuani,Azir,Corki,Rell,0
LOLTMNT02_243051,Jayce,Gwen,Ryze,Corki,Nautilus,Gragas,Kindred,Yone,Jhin,Karma,0
LOLTMNT05_121601,Poppy,Lillia,Jayce,Varus,Nautilus,Ambessa,Vi,Ahri,Kai'Sa,Leona,1
LOLTMNT05_122577,Gragas,Dr. Mundo,Ezreal,Swain,Alistar,Yone,Pantheon,Syndra,Ashe,Rell,0
LOLTMNT05_122576,Jayce,Vi,Hwei,Miss Fortune,Rell,Rumble,Pantheon,Aurora,Ezreal,Maokai,1
LOLTMNT02_243077,Ornn,Naafiri,Taliyah,Smolder,Rell,Olaf,Xin Zhao,Azir,Sivir,Alistar,1
LOLTMNT05_122578,Galio,Vi,Viktor,Varus,Rell,Rumble,Xin Zhao,Aurora,Ezreal,Nautilus,1
LOLTMNT02_243093,Renekton,Skarner,Viktor,Xayah,Rell,Ambessa,Vi,Ahri,Varus,Alistar,0
LOLTMNT05_122581,Renekton,Naafiri,Ryze,Sivir,Nautilus,Gnar,Poppy,Ahri,Varus,Rell,0
LOLTMNT02_243094,Gnar,Maokai,Akali,Ezreal,Leona,Poppy,Vi,Viktor,Jinx,Braum,1
LOLTMNT05_121610,Jax,Vi,Ahri,Varus,Nautilus,K'Sante,Naafiri,Sylas,Jhin,Rell,1
LOLTMNT05_122585,Gwen,Naafiri,Galio,Miss Fortune,Leona,Akali,Pantheon,Irelia,Varus,Rell,1
LOLTMNT05_121617,Aatrox,Lillia,Yone,Miss Fortune,Leona,Gragas,Zyra,Zed,Varus,Rell,1
LOLTMNT05_121619,Gnar,Skarner,Taliyah,Ezreal,Rell,Camille,Vi,Azir,Kai'Sa,Braum,1
LOLTMNT02_244030,Galio,Wukong,Ryze,Ezreal,Braum,Rumble,Sejuani,Yone,Kai'Sa,Leona,1
LOLTMNT02_243114,Jax,Zac,Hwei,Draven,Rell,Urgot,Zyra,Ahri,Varus,Nautilus,1
LOLTMNT02_244025,Gwen,Pantheon,Syndra,Ashe,Poppy,Camille,Talon,Taliyah,Varus,Rell,1
LOLTMNT02_243120,Gnar,Maokai,Orianna,Tristana,Pyke,Yone,Ivern,Viktor,Ezreal,Leona,1
LOLTMNT02_244034,Gnar,Gwen,Vladimir,Tristana,Rakan,Sion,Naafiri,Orianna,Corki,Nautilus,0
LOLTMNT02_244035,K'Sante,Skarner,Azir,Xayah,Rakan,Garen,Sejuani,Viktor,Corki,Blitzcrank,1
LOLTMNT05_121622,Rumble,Jarvan IV,Orianna,Miss Fortune,Leona,Jayce,Skarner,Hwei,Corki,Rell,1
LOLTMNT02_244046,Sett,Maokai,Yone,Jinx,Milio,Dr. Mundo,Jarvan IV,Aurora,Sivir,Leona,1
LOLTMNT05_122598,Gwen,Sejuani,Yone,Ezreal,Alistar,Fiora,Skarner,Aurora,Varus,Rakan,0
LOLTMNT02_243128,Rumble,Vi,Ryze,Lucian,Milio,Jayce,Skarner,Anivia,Ezreal,Karma,1
LOLTMNT02_243132,Gwen,Sejuani,Aurelion Sol,Varus,Elise,Ambessa,Poppy,Azir,Corki,Rakan,0
LOLTMNT02_244068,Rumble,Skarner,Orianna,Aphelios,Lulu,Aurora,Vi,Yone,Lucian,Milio,1
LOLTMNT02_244070,Ambessa,Sejuani,Cho'Gath,Miss Fortune,Neeko,Jayce,Wukong,Ahri,Jinx,Maokai,0
LOLTMNT02_244099,Rumble,Sejuani,Yone,Xayah,Alistar,Gwen,Wukong,Akali,Kai'Sa,Gragas,0
LOLTMNT02_244100,Rumble,Sejuani,Yone,Corki,Rell,Ambessa,Naafiri,Ahri,Xayah,Rakan,0
LOLTMNT02_244108,Aatrox,Skarner,Azir,Miss Fortune,Braum,Kennen,Xin Zhao,Sylas,Ezreal,Neeko,1
LOLTMNT02_244109,K'Sante,Viego,Azir,Jhin,Rell,Renekton,Lillia,Corki,Ashe,Leona,0
LOLTMNT02_243195,Jax,Vi,Aurora,Jhin,Alistar,Sion,Wukong,Ryze,Varus,Renata Glasc,1
LOLTMNT03_212501,K'Sante,Bel'Veth,Galio,Jinx,Rakan,Rumble,Skarner,Tryndamere,Tristana,Braum,0
LOLTMNT02_243218,Jayce,Xin Zhao,Taliyah,Kai'Sa,Rakan,Rumble,Skarner,Azir,Ezreal,Alistar,1
LOLTMNT03_212512,Gwen,Wukong,Taliyah,Varus,Rell,Jayce,Pantheon,Mel,Ezreal,Leona,1
LOLTMNT02_243219,Gwen,Nidalee,Tristana,Ashe,Neeko,Ambessa,Wukong,Sylas,Kalista,Renata Glasc,1
LOLTMNT03_211507,Aatrox,Naafiri,Ahri,Ezreal,Leona,Gragas,Kayn,Taliyah,Varus,Braum,1
LOLTMNT02_244146,Jax,Sejuani,Ryze,Varus,Pantheon,K'Sante,Naafiri,Orianna,Miss Fortune,Leona,1
LOLTMNT03_211515,Ambessa,Naafiri,Ahri,Kai'Sa,Rell,Poppy,Nocturne,Ryze,Ezreal,Alistar,1
LOLTMNT02_244166,Jayce,Naafiri,Aurora,Corki,Rell,Rumble,Xin Zhao,Azir,Jhin,Alistar,0
LOLTMNT03_212564,Rumble,Xin Zhao,Jayce,Varus,Rell,Ambessa,Lillia,Akali,Tristana,Braum,1
LOLTMNT02_243267,Aatrox,Vi,Ahri,Ashe,Braum,Ambessa,Lee Sin,Sylas,Miss Fortune,Rakan,0
LOLTMNT03_211582,Rumble,Vi,Azir,Varus,Leona,Ambessa,Zyra,Tristana,Jhin,Rell,1
LOLTMNT02_243277,Rumble,Vi,Tristana,Kai'Sa,Rell,Aatrox,Pantheon,Azir,Ezreal,Alistar,0
LOLTMNT02_244187,Ambessa,Gwen,Orianna,Jhin,Rell,Volibear,Nocturne,Akali,Varus,Alistar,1
LOLTMNT05_122606,Rumble,Pantheon,Taliyah,Corki,Rell,Galio,Nocturne,Syndra,Miss Fortune,Alistar,1
LOLTMNT02_243290,Gnar,Pantheon,Syndra,Jhin,Nautilus,Jayce,Zyra,Yone,Corki,Braum,0
LOLTMNT05_122610,K'Sante,Sejuani,Ryze,Varus,Braum,Rumble,Nidalee,Yone,Ashe,Alistar,0
LOLTMNT05_121640,Pantheon,Vi,Galio,Ezreal,Rell,Ambessa,Xin Zhao,Viktor,Corki,Zac,1
LOLTMNT06_110035,Poppy,Gwen,Tristana,Corki,Rell,Ambessa,Vi,Syndra,Hwei,Leona,1
LOLTMNT06_111029,Gnar,Zyra,Naafiri,Jhin,Karma,Jax,Jarvan IV,Azir,Varus,Bard,0
LOLTMNT06_110036,Rumble,Maokai,Tristana,Jhin,Rakan,K'Sante,Lillia,Yone,Kai'Sa,Rell,1
LOLTMNT03_211667,Urgot,Volibear,Aurelion Sol,Varus,Renata Glasc,Kennen,Jarvan IV,Azir,Corki,Rell,1
LOLTMNT02_243295,Jayce,Maokai,Viktor,Ezreal,Rell,Sion,Xin Zhao,Ahri,Ashe,Nautilus,0
LOLTMNT05_121641,Jayce,Xin Zhao,Azir,Corki,Bard,Rumble,Viego,Yone,Miss Fortune,Rakan,0
LOLTMNT06_110044,Gnar,Viego,Lissandra,Varus,Rakan,Shen,Talon,LeBlanc,Ziggs,Pyke,0
LOLTMNT06_111031,Jax,Yorick,Syndra,Ezreal,Karma,Gragas,Xin Zhao,Akali,Caitlyn,Pyke,1
LOLTMNT05_122622,Sett,Olaf,Zilean,Ashe,Rell,Rumble,Vi,Ambessa,Varus,Janna,0
LOLTMNT06_110045,Cho'Gath,Amumu,Xayah,Ashe,Milio,Renekton,Maokai,Sylas,Ezreal,Rell,0
LOLTMNT03_211704,Jax,Ivern,Pyke,Nilah,Taric,Cho'Gath,Zyra,Tristana,Ezreal,Pantheon,0
LOLTMNT05_121650,Darius,Zyra,Yone,Varus,Alistar,Gwen,Sejuani,Corki,Ezreal,Rell,1
LOLTMNT05_121652,Ambessa,Vi,Taliyah,Ashe,Braum,Gwen,Maokai,Tristana,Varus,Nautilus,0
LOLTMNT06_111034,K'Sante,Lillia,Tristana,Lucian,Nami,Soraka,Dr. Mundo,Taliyah,Corki,Rakan,0
LOLTMNT03_211727,Gnar,Skarner,Taliyah,Sivir,Karma,Malphite,Shyvana,Anivia,Jhin,Bard,1
LOLTMNT06_111039,K'Sante,Gwen,Ambessa,Tristana,Rell,Jayce,Vi,Azir,Sivir,Alistar,0
LOLTMNT06_111040,Yorick,Dr. Mundo,Naafiri,Mel,Leona,Jayce,Vi,Taliyah,Varus,Rakan,0
LOLTMNT06_110052,Ambessa,Maokai,Viktor,Varus,Blitzcrank,Camille,Xin Zhao,Orianna,Jhin,Karma,0
LOLTMNT06_111041,Ornn,Rengar,Ivern,Jhin,Poppy,Jax,Maokai,Mel,Tristana,Rell,1
LOLTMNT06_110054,Jax,Skarner,Taliyah,Kai'Sa,Maokai,Aatrox,Nidalee,Kassadin,Miss Fortune,Rakan,1
LOLTMNT06_111044,Ambessa,Sejuani,Cho'Gath,Kalista,Nautilus,Gnar,Volibear,Ahri,Ashe,Neeko,0
LOLTMNT06_110055,Gragas,Pantheon,Ryze,Tristana,Lulu,K'Sante,Vi,Vex,Kai'Sa,Rell,1
LOLTMNT06_110056,Shen,Vi,Aurora,Varus,Rakan,Karma,Jarvan IV,Syndra,Draven,Pyke,0
LOLTMNT02_244235,Aurora,Skarner,Sylas,Varus,Nautilus,Rumble,Vi,Ahri,Jhin,Leona,1
LOLTMNT02_244243,Jayce,Sejuani,Viktor,Miss Fortune,Maokai,Sion,Xin Zhao,Azir,Corki,Rell,1
LOLTMNT02_243340,K'Sante,Lillia,Tristana,Ashe,Braum,Renekton,Zyra,Yone,Caitlyn,Milio,1
LOLTMNT02_244255,Jayce,Lillia,Hwei,Ezreal,Alistar,Ambessa,Skarner,Ryze,Kai'Sa,Rakan,1
LOLTMNT02_244258,Gragas,Naafiri,Azir,Jhin,Bard,K'Sante,Maokai,Syndra,Miss Fortune,Rell,1
LOLTMNT02_244259,Renekton,Vi,Taliyah,Lucian,Milio,Garen,Zyra,Galio,Corki,Leona,0
LOLTMNT02_243419,K'Sante,Naafiri,Azir,Kalista,Renata Glasc,Jayce,Xin Zhao,Taliyah,Varus,Leona,0
LOLTMNT02_243413,K'Sante,Wukong,Sylas,Varus,Rakan,Rumble,Pantheon,Azir,Ezreal,Neeko,0
LOLTMNT02_243417,K'Sante,Wukong,Aurora,Ashe,Rakan,Rumble,Xin Zhao,Azir,Ezreal,Leona,1
LOLTMNT02_244330,Rumble,Vi,Yone,Varus,Rell,Gwen,Viego,Akali,Ezreal,Leona,1
LOLTMNT02_244350,Ambessa,Sejuani,Yone,Kai'Sa,Rakan,Jax,Skarner,Aurora,Ashe,Seraphine,1
LOLTMNT02_244351,Jayce,Xin Zhao,Sylas,Corki,Nautilus,Sion,Sejuani,Azir,Ashe,Braum,0
LOLTMNT02_243438,Ambessa,Pantheon,Ahri,Varus,Alistar,Renekton,Nocturne,Orianna,Sivir,Poppy,1
LOLTMNT02_243439,Aatrox,Naafiri,Ryze,Miss Fortune,Rell,Ambessa,Xin Zhao,Ahri,Corki,Leona,1
LOLTMNT02_244356,Renekton,Vi,Taliyah,Corki,Rell,Ambessa,Naafiri,Sylas,Ezreal,Elise,1
LOLTMNT02_244363,Gragas,Jarvan IV,Ryze,Corki,Seraphine,Aatrox,Vi,Taliyah,Kai'Sa,Rell,0
LOLTMNT02_243459,Rumble,Wukong,Ryze,Xayah,Alistar,Jayce,Xin Zhao,Ahri,Zeri,Rakan,1
LOLTMNT02_243457,Gnar,Vi,Aurora,Zeri,Seraphine,Jax,Zyra,Yone,Xayah,Nautilus,1
11965-11965_game_1,Rumble,Xin Zhao,Ahri,Xayah,Nautilus,Ambessa,Vi,Taliyah,Kai'Sa,Leona,1
LOLTMNT02_243477,Gwen,Pantheon,Azir,Miss Fortune,Rell,Master Yi,Sejuani,Viktor,Varus,Poppy,1
LOLTMNT02_244373,Jayce,Lee Sin,Sylas,Varus,Leona,K'Sante,Vi,Taliyah,Ashe,Braum,1
LOLTMNT02_244383,Gwen,Ivern,Tristana,Ashe,Nautilus,Fiora,Skarner,Azir,Kai'Sa,Leona,0
LOLTMNT03_211905,Camille,Viego,Yone,Ezreal,Rakan,Ambessa,Vi,Ahri,Ashe,Leona,0
LOLTMNT02_244382,Gwen,Skarner,Sylas,Ashe,Renata Glasc,Ambessa,Wukong,Ahri,Kalista,Neeko,0
LOLTMNT02_244384,K'Sante,Xin Zhao,Azir,Varus,Neeko,Rumble,Naafiri,Yone,Ezreal,Rakan,0
