gameid,top_blue,jng_blue,mid_blue,bot_blue,sup_blue,top_red,jng_red,mid_red,bot_red,sup_red,result
LOLTMNT05_172141,Sion,Nocturne,Taliyah,Corki,Bard,Ornn,Qiyana,Galio,Kai'Sa,Neeko,1
LOLTMNT05_172142,Rumble,Ambessa,Taliyah,Corki,Braum,Aatrox,Xin Zhao,Syndra,Ezreal,Nautilus,1
LOLTMNT06_164179,Sion,Sylas,Azir,Ezreal,Alistar,Camille,Trundle,Zoe,Tristana,Leona,0
LOLTMNT05_172145,Urgot,Qiyana,Ryze,Varus,Alistar,K'Sante,Jarvan IV,Syndra,Aphelios,Braum,0
LOLTMNT05_172150,Sion,Jayce,Ryze,Corki,Bard,Gwen,Wukong,Mel,Sivir,Leona,1
LOLTMNT06_164182,Sion,Xin Zhao,Ryze,Corki,Rell,Gnar,Wukong,Cassiopeia,Varus,Nautilus,0
LOLTMNT06_164183,Rumble,Pantheon,Taliyah,Yunara,Alistar,Galio,Naafiri,Ahri,Aphelios,Karma,1
LOLTMNT01_320768,K'Sante,Jayce,Taliyah,Yunara,Nautilus,Rumble,Jarvan IV,Ryze,Miss Fortune,Rell,0
LOLTMNT01_321834,Sion,Ambessa,Azir,Kai'Sa,Neeko,Rek'Sai,Wukong,Ahri,Corki,Nami,0
LOLTMNT03_336667,Renekton,Pantheon,Azir,Xayah,Rakan,Gnar,Vi,Taliyah,Ezreal,Leona,1
LOLTMNT01_321853,Sion,Dr. Mundo,Ryze,Corki,Nami,Rek'Sai,Malphite,Anivia,Varus,Alistar,0
LOLTMNT03_337754,Aatrox,Xin Zhao,Galio,Yunara,Lulu,Ambessa,Trundle,Ryze,Varus,Nautilus,0
LOLTMNT01_321867,Jax,Jayce,Syndra,Aphelios,Thresh,Renekton,Vi,Aurora,Ashe,Mel,0
13067-13067_game_1,Rek'Sai,Jayce,Orianna,Varus,Bard,Renekton,Malphite,Azir,Jhin,Alistar,1
LOLTMNT03_337756,Sion,Poppy,Syndra,Lucian,Braum,Rek'Sai,Wukong,Orianna,Kai'Sa,Alistar,0
13067-13067_game_2,Aurora,Xin Zhao,Akali,Aphelios,Lulu,Rumble,Nocturne,Syndra,Miss Fortune,Neeko,0
LOLTMNT03_336695,K'Sante,Vi,Taliyah,Ezreal,Alistar,Rumble,Xin Zhao,Yone,Varus,Rakan,0
13067-13067_game_3,Jax,Qiyana,Ryze,Sivir,Shen,K'Sante,Pantheon,Taliyah,Kai'Sa,Rell,1
LOLTMNT03_337782,Sion,Ambessa,Anivia,Yunara,Rell,Renekton,Wukong,Ryze,Ziggs,Nautilus,1
13068-13068_game_1,K'Sante,Dr. Mundo,Syndra,Kai'Sa,Neeko,Renekton,Malphite,Azir,Yunara,Lulu,1
13068-13068_game_2,Sion,Xin Zhao,LeBlanc,Aphelios,Thresh,Zaahen,Vi,Orianna,Sivir,Nautilus,0
13068-13068_game_3,Gwen,Wukong,Ahri,Jhin,Poppy,Yorick,Qiyana,Taliyah,Varus,Alistar,0
LOLTMNT06_164200,Ambessa,Vi,Taliyah,Yunara,Alistar,Kled,Jarvan IV,Ryze,Corki,Braum,1
LOLTMNT03_337813,Ambessa,Qiyana,Ryze,Varus,Bard,Rumble,Jarvan IV,Cassiopeia,Sivir,Rell,1
